Review_ID,Review_ID#,Review_IDtoID#,Review_OutofScopeBool,Review_SentenceID,Review_Opinion_Category,Review_Opinion_From,Review_Opinion_Polarity,Review_Opinion_Target,Review_Opinion_To,Review_Text
1004293,1,1004293:0,,1,RESTAURANT#GENERAL,51,negative,place,56,"Judging from previous posts this used to be a good place, but not any longer."
1004293,1,1004293:1,,2,SERVICE#GENERAL,75,negative,staff,80,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude."
1004293,1,1004293:2,,3,SERVICE#GENERAL,0,negative,NULL,0,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table."
1004293,1,1004293:3,,4,FOOD#QUALITY,4,negative,food,8,The food was lousy - too sweet or too salty and the portions tiny.
1004293,1,1004293:3,,4,FOOD#STYLE_OPTIONS,52,negative,portions,60,The food was lousy - too sweet or too salty and the portions tiny.
1004293,1,1004293:4,,5,SERVICE#GENERAL,0,negative,NULL,0,"After all that, they complained to me about the small tip."
1004293,1,1004293:5,,6,RESTAURANT#GENERAL,11,negative,place,16,Avoid this place!
1014458,2,1014458:0,,7,FOOD#QUALITY,38,positive,food,42,"I have eaten at Saul, many times, the food is always consistently, outrageously good."
1014458,2,1014458:1,,8,RESTAURANT#GENERAL,0,positive,Saul,4,Saul is the best restaurant on Smith Street and in Brooklyn.
1014458,2,1014458:2,,9,FOOD#QUALITY,42,positive,foie gras terrine with figs,69,The duck confit is always amazing and the foie gras terrine with figs was out of this world.
1014458,2,1014458:2,,9,FOOD#QUALITY,4,positive,duck confit,15,The duck confit is always amazing and the foie gras terrine with figs was out of this world.
1014458,2,1014458:3,,10,DRINKS#STYLE_OPTIONS,4,positive,wine list,13,The wine list is interesting and has many good values.
1014458,2,1014458:3,,10,DRINKS#PRICES,4,positive,wine list,13,The wine list is interesting and has many good values.
1014458,2,1014458:4,,11,RESTAURANT#PRICES,0,positive,NULL,0,"For the price, you cannot eat this well in Manhattan."
1014458,2,1014458:4,,11,FOOD#QUALITY,0,positive,NULL,0,"For the price, you cannot eat this well in Manhattan."
1016296,3,1016296:0,,12,RESTAURANT#GENERAL,34,negative,restaurant,44,I was very disappointed with this restaurant.
1016296,3,1016296:1,,13,SERVICE#GENERAL,12,negative,cart attendant,26,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
1016296,3,1016296:2,,14,SERVICE#GENERAL,0,negative,NULL,0,I had to ask her three times before she finally came back with the dish Ive requested.
1016296,3,1016296:3,,15,FOOD#QUALITY,0,neutral,Food,4,"Food was okay, nothing great."
1016296,3,1016296:4,,16,FOOD#QUALITY,0,negative,Chow fun,8,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.
1016296,3,1016296:4,,16,FOOD#QUALITY,18,negative,pork shu mai,30,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.
1016296,3,1016296:4,,16,AMBIENCE#GENERAL,0,negative,NULL,0,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.
1016296,3,1016296:5,,17,RESTAURANT#GENERAL,32,negative,place,37,I/we will never go back to this place again.
1028246,4,1028246:0,,18,RESTAURANT#GENERAL,35,positive,Fish,39,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!"
1028246,4,1028246:1,,19,SERVICE#GENERAL,0,positive,Service,7,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!"
1028246,4,1028246:1,,19,FOOD#QUALITY,20,positive,oysters,27,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!"
1028246,4,1028246:1,,19,RESTAURANT#PRICES,0,positive,NULL,0,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!"
1028246,4,1028246:2,,20,RESTAURANT#GENERAL,0,positive,NULL,0,You can't go wrong here.
1032695,5,1032695:0,,21,RESTAURANT#GENERAL,50,positive,Restaurant Saul,65,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.
1032695,5,1032695:1,,22,FOOD#QUALITY,0,positive,NULL,0,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
1032695,5,1032695:1,,22,SERVICE#GENERAL,47,positive,service,54,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
1032695,5,1032695:1,,22,AMBIENCE#GENERAL,73,positive,decor,78,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
1032695,5,1032695:2,,23,FOOD#QUALITY,10,positive,duck breast special,29,I had the duck breast special on my last visit and it was incredible.
1032695,5,1032695:3,,24,RESTAURANT#GENERAL,0,positive,NULL,0,Can't wait wait for my next visit.
1041457,6,1041457:0,,25,,,,,,"I had my eyes on this place, promising myself I will one day 'give it a try.'"
1041457,6,1041457:1,,26,RESTAURANT#GENERAL,0,negative,NULL,0,And I hate to say this but I doubt I'll ever go back.
1041457,6,1041457:2,,27,FOOD#QUALITY,4,negative,food,8,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here."
1041457,6,1041457:2,,27,FOOD#QUALITY,31,negative,Thai fusion stuff,48,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here."
1041457,6,1041457:2,,27,FOOD#QUALITY,0,negative,NULL,0,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here."
1041457,6,1041457:3,,28,FOOD#QUALITY,46,positive,Grilled Chicken special with Edamame Puree,88,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
1041457,6,1041457:4,,29,FOOD#QUALITY,16,positive,Edamame pureed,30,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
1041457,6,1041457:4,,29,FOOD#STYLE_OPTIONS,16,positive,Edamame pureed,30,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
1041457,6,1041457:5,TRUE,30,,,,,,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari."
1041457,6,1041457:6,,31,AMBIENCE#GENERAL,142,negative,place,147,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern."
1041457,6,1041457:6,,31,AMBIENCE#GENERAL,4,positive,decor,9,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern."
1041457,6,1041457:6,,31,AMBIENCE#GENERAL,60,negative,vent,64,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern."
1053543,7,1053543:0,,32,,,,,,We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.
1053543,7,1053543:1,,33,,,,,,What's the difference between the two?
1053543,7,1053543:2,,34,DRINKS#STYLE_OPTIONS,6,positive,sake list,15,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!"
1053543,7,1053543:2,,34,SERVICE#GENERAL,0,positive,NULL,0,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!"
1053543,7,1053543:3,,35,FOOD#QUALITY,4,positive,spicy tuna roll,19,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
1053543,7,1053543:3,,35,FOOD#QUALITY,47,positive,rock shrimp tempura,66,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
1053543,7,1053543:4,,36,SERVICE#GENERAL,74,positive,service,81,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!
1055910,8,1055910:0,,37,RESTAURANT#GENERAL,11,positive,pink pony,20,we love th pink pony.
1055910,8,1055910:1,,38,RESTAURANT#GENERAL,12,positive,spot,16,THe perfect spot.
1055910,8,1055910:2,,39,FOOD#QUALITY,0,positive,Food,4,Food-awesome.
1055910,8,1055910:3,,40,SERVICE#GENERAL,0,positive,Service,7,Service- friendly and attentive.
1055910,8,1055910:4,,41,AMBIENCE#GENERAL,0,positive,Ambiance,8,Ambiance- relaxed and stylish.
1055910,8,1055910:5,,42,RESTAURANT#GENERAL,17,positive,place,22,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart."
1058221,9,1058221:0,,43,,,,,,"i have eaten here a handful of times, for no reason besides sheer convenience."
1058221,9,1058221:1,,44,,,,,,"(i hang out, and live, in the neighborhood..)"
1058221,9,1058221:2,,45,FOOD#QUALITY,4,neutral,food,8,the food is decent.
1058221,9,1058221:3,,46,SERVICE#GENERAL,18,negative,service,25,"however, it's the service that leaves a bad taste in my mouth."
1058221,9,1058221:4,,47,SERVICE#GENERAL,106,negative,waiter,112,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check."
1058221,9,1058221:5,,48,SERVICE#GENERAL,0,negative,NULL,0,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience."
1058221,9,1058221:6,,49,RESTAURANT#GENERAL,0,negative,NULL,0,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience."
1058221,9,1058221:7,,50,RESTAURANT#MISCELLANEOUS,0,negative,NULL,0,the last time i walked by it looked pretty empty. hmmm.
1062641,10,1062641:0,,51,RESTAURANT#GENERAL,5,positive,place,10,This place has got to be the best japanese restaurant in the new york area.
1062641,10,1062641:1,,52,RESTAURANT#GENERAL,0,positive,NULL,0,I had a great experience.
1062641,10,1062641:2,,53,FOOD#QUALITY,0,positive,Food,4,Food is great.
1062641,10,1062641:3,,54,SERVICE#GENERAL,0,positive,Service,7,Service is top notch.
1062641,10,1062641:4,,55,RESTAURANT#GENERAL,0,positive,NULL,0,I have been going back again and again.
1064477,11,1064477:0,,56,FOOD#QUALITY,42,positive,sea urchin,52,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose."
1064477,11,1064477:1,,57,FOOD#QUALITY,0,positive,NULL,0,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery."
1064477,11,1064477:2,,58,FOOD#QUALITY,4,positive,sushi,9,The sushi seemed pretty fresh and was adequately proportioned.
1064477,11,1064477:2,,58,FOOD#STYLE_OPTIONS,4,positive,sushi,9,The sushi seemed pretty fresh and was adequately proportioned.
1064477,11,1064477:3,,59,FOOD#STYLE_OPTIONS,4,positive,rice to fish ration,23,The rice to fish ration was also good--they didn't try to overpack the rice.
1064477,11,1064477:4,,60,FOOD#QUALITY,26,positive,half price sushi deal,47,We took advanatage of the half price sushi deal on saturday so it was well worth it.
1074868,12,1074868:0,,61,,,,,,I went to this restaurant with a woman that I met recently.
1074868,12,1074868:1,,62,,,,,,She lives nearby but had never gone to this establishment thinking that it might be too touristy.
